"Weekly Temperature (deg F, 1981-2010 Base Period)"
"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20150117,16.53,14.31,27.93,44.23,22.10,39.35,37.21,33.78,44.91,32.22,-5.28,-0.75,-2.04,-0.67,2.55,-2.94,4.09,4.17,6.09,0.65"
"20150124,24.48,28.20,37.06,49.32,31.36,46.01,35.95,34.93,45.06,37.93,2.76,12.91,6.77,4.11,11.34,3.20,2.25,4.77,5.72,5.93"
"20150131,17.24,23.76,32.60,43.53,35.87,50.33,41.73,38.92,47.70,38.99,-4.91,7.78,1.63,-2.30,15.32,6.77,7.38,8.30,7.83,6.38"
"20150207,14.42,11.23,28.46,44.21,25.07,42.99,44.45,41.12,51.48,35.24,-8.64,-5.89,-3.56,-2.54,3.85,-1.53,9.38,10.07,11.03,1.81"
"20150214,16.29,15.97,31.44,46.07,33.01,51.18,46.66,44.11,51.97,39.62,-7.97,-2.71,-1.95,-1.81,10.70,5.45,10.62,12.35,10.77,5.07"
"20150221,6.90,4.15,13.85,34.64,23.67,42.90,41.92,40.17,50.77,31.03,-18.79,-16.51,-21.24,-14.54,-0.20,-4.31,4.63,7.37,8.61,-4.93"
"20150228,12.76,4.72,19.88,43.60,15.46,33.37,32.43,35.97,44.03,27.57,-14.61,-18.35,-17.25,-7.05,-10.47,-15.59,-6.39,1.78,0.70,-10.13"
"20150307,18.61,14.59,28.16,51.56,22.94,41.47,37.02,37.35,44.80,33.89,-10.69,-11.25,-11.28,-0.70,-5.46,-9.46,-3.54,1.53,0.13,-5.81"
"20150314,32.32,40.80,46.67,59.93,44.61,54.71,47.83,47.78,54.42,48.74,0.85,12.01,4.84,6.03,13.71,1.82,5.55,10.41,8.48,7.01"
"20150321,30.34,39.36,47.68,61.59,43.99,58.63,50.62,47.39,57.40,50.03,-3.56,7.51,3.43,6.09,10.63,3.84,6.71,8.64,10.33,6.31"
"20150328,29.27,29.56,43.23,58.53,41.08,59.12,51.54,46.06,55.83,47.90,-7.30,-5.48,-3.46,1.44,5.29,2.47,6.07,6.10,7.75,2.22"
"20150404,36.90,42.30,50.63,60.03,44.35,64.79,53.03,43.52,53.98,51.75,-2.59,3.97,1.48,1.37,6.18,6.35,6.08,2.50,4.98,4.12"
"20150411,40.52,41.49,57.46,67.17,41.74,65.59,51.14,42.72,48.94,52.26,-1.89,-0.09,5.91,6.92,1.21,5.34,2.65,0.60,-1.10,2.67"
"20150418,50.51,52.96,60.16,66.89,47.73,64.88,48.76,45.17,53.99,55.20,5.33,8.34,6.32,4.99,4.85,2.77,-1.45,1.72,2.65,3.61"
"20150425,44.76,41.72,52.73,65.26,45.36,64.20,52.37,48.87,56.09,53.48,-2.99,-5.74,-3.28,1.65,0.13,0.17,0.24,3.87,3.14,-0.16"
"20150502,49.68,50.92,53.63,62.59,51.76,63.08,55.43,51.27,61.28,56.26,-0.49,0.81,-4.42,-2.79,4.19,-2.92,1.20,4.49,6.41,0.52"
"20150509,61.78,59.31,68.55,69.27,50.73,70.95,55.32,52.11,57.46,60.92,9.33,6.70,8.51,2.08,0.85,2.95,-1.14,3.44,0.52,3.06"
"20150516,60.85,52.20,64.84,73.74,49.24,68.76,53.49,51.40,55.36,59.17,6.12,-2.87,2.74,4.76,-2.91,-1.20,-5.20,0.98,-3.57,-0.78"
"20150523,58.22,53.42,62.13,73.63,48.95,68.11,54.19,56.40,56.17,59.24,1.21,-4.08,-2.11,2.86,-5.39,-3.75,-6.71,4.37,-4.66,-2.75"
"20150530,68.02,62.85,71.01,74.70,56.78,72.26,59.54,59.55,64.31,65.37,8.73,2.93,4.55,2.17,0.30,-1.46,-3.57,6.09,1.67,1.37"
"20150606,58.33,59.63,65.87,74.21,62.22,74.94,66.79,60.91,65.56,66.53,-3.20,-2.63,-2.84,-0.05,3.66,-0.55,1.48,6.11,1.20,0.57"
"20150613,66.61,66.01,75.45,77.89,66.53,79.49,67.36,67.27,71.29,71.55,3.06,1.64,4.75,2.12,5.94,2.42,0.03,10.98,5.14,3.76"
"20150620,66.85,64.90,75.94,82.32,63.65,78.76,72.57,64.48,73.87,72.10,1.54,-1.25,3.60,5.30,1.06,0.38,3.40,6.45,5.88,2.64"
"20150627,66.96,67.26,75.36,81.93,68.09,81.03,75.46,69.39,75.95,74.32,0.17,-0.36,1.75,3.95,3.53,1.58,4.63,9.35,6.00,3.34"
"20150704,64.23,65.08,70.63,77.40,72.13,79.62,75.86,76.94,79.72,74.42,-3.75,-3.69,-3.88,-1.28,5.65,-0.63,3.58,14.66,7.75,2.10"
"20150711,69.84,66.13,72.92,80.28,66.66,79.43,69.79,70.36,71.03,72.31,0.95,-3.47,-2.22,1.11,-1.45,-1.45,-3.60,6.08,-2.66,-1.09"
"20150718,68.93,71.54,77.44,81.24,70.31,83.88,72.57,65.85,72.73,74.84,-0.54,1.42,1.88,1.76,1.06,2.52,-1.50,0.15,-2.10,0.70"
"20150725,70.00,70.20,76.01,81.80,70.47,84.01,72.17,67.49,72.11,74.78,0.28,-0.10,0.23,2.15,0.59,2.31,-2.14,0.97,-3.27,0.26"
"20150801,72.84,72.37,77.82,81.31,69.13,83.75,73.32,67.52,75.01,75.43,3.18,2.21,2.04,1.66,-0.89,1.83,-0.80,0.80,-0.33,0.88"
"20150808,68.23,67.50,74.36,80.37,68.73,83.98,73.49,68.10,73.42,74.21,-1.03,-2.19,-1.17,0.91,-0.92,2.06,-0.04,1.70,-1.38,-0.02"
"20150815,68.66,71.57,74.05,79.03,73.27,83.17,74.34,70.37,74.12,75.34,0.11,2.72,-0.89,-0.03,4.56,1.63,1.65,4.69,0.11,1.79"
"20150822,73.20,66.68,72.55,79.52,62.16,78.92,73.46,66.18,75.94,72.26,5.71,-0.94,-1.42,1.09,-5.06,-1.81,1.88,1.57,2.95,-0.24"
"20150829,66.64,60.81,67.65,76.82,66.04,78.25,72.24,68.04,75.91,71.06,0.52,-5.21,-5.00,-0.76,0.87,-1.23,2.01,4.86,4.13,-0.04"
"20150905,71.25,72.60,77.06,78.68,69.17,80.76,70.73,57.87,69.12,72.78,6.84,8.55,6.10,2.19,6.58,2.93,2.08,-3.54,-1.23,3.44"
"20150912,70.40,64.47,72.93,77.50,60.37,79.59,69.40,61.98,72.33,70.36,7.98,2.64,3.95,2.38,0.54,3.67,2.60,2.56,3.63,3.01"
"20150919,65.42,64.60,66.88,70.77,60.37,76.64,66.92,55.74,66.05,66.82,5.27,5.20,0.12,-2.66,3.31,2.79,2.21,-1.53,-0.77,1.66"
"20150926,58.92,62.81,65.99,71.95,62.76,75.24,66.68,60.41,71.37,67.23,1.29,6.03,1.72,0.50,8.46,3.61,4.33,5.46,6.67,4.46"
"20151003,56.38,55.09,62.25,70.71,56.59,70.95,66.97,57.26,66.99,63.55,1.54,1.14,0.71,1.55,5.05,1.71,7.22,4.78,4.62,3.34"
"20151010,52.81,52.84,62.51,68.08,54.47,68.61,59.11,58.44,64.31,60.90,0.81,1.83,3.77,1.32,5.75,1.83,2.10,8.53,4.44,3.35"
"20151017,50.92,50.37,56.52,65.16,52.35,69.65,62.35,57.08,67.35,60.16,1.55,2.35,0.45,0.67,6.57,5.33,8.09,9.75,10.00,5.26"
"20151024,45.15,50.80,57.47,61.04,49.74,66.70,54.39,50.51,57.60,56.05,-1.82,5.82,3.92,-1.33,7.03,4.82,2.89,5.77,2.83,3.79"
"20151031,45.65,44.18,51.72,64.54,42.58,60.51,50.68,47.66,57.18,52.20,0.85,2.28,0.54,4.13,3.08,1.05,1.95,5.52,5.05,2.55"
"20151107,52.48,50.18,58.18,69.07,42.15,63.03,46.63,40.91,48.30,52.72,9.70,11.41,9.30,10.52,5.95,5.99,0.65,1.34,-1.21,5.67"
"20151114,44.11,42.12,47.37,58.92,39.01,56.51,42.13,39.29,44.46,46.61,3.54,6.59,0.93,2.27,6.04,1.92,-1.17,2.20,-2.55,2.17"
"20151121,42.56,40.09,48.50,59.23,33.23,55.12,40.49,36.34,45.77,44.98,4.44,7.92,4.71,4.55,3.39,3.02,-0.22,1.57,1.09,3.15"
