"weekEnding,ne,enc,c,se,wnc,s,sw,nw,w,nat,neAnom,encAnom,cAnom,seAnom,wncAnom,sAnom,swAnom,nwAnom,wAnom,natAnom"
"20121020,50.22,44.13,52.09,64.60,42.81,61.28,54.83,48.72,60.09,53.61,1.62,-3.27,-3.11,1.10,-2.79,-2.22,1.43,0.92,3.09,-0.69"
"20121027,50.44,44.75,52.84,64.66,42.95,61.88,54.77,48.31,59.60,53.81,1.84,-2.65,-2.36,1.16,-2.65,-1.62,1.37,0.51,2.60,-0.49"
"20121031,50.38,44.88,52.82,64.23,43.53,62.09,54.87,48.63,59.52,53.94,1.78,-2.52,-2.38,0.73,-2.07,-1.41,1.47,0.83,2.52,-0.36"
"20121103,39.98,30.88,41.37,53.05,32.02,52.07,43.07,39.69,47.91,42.78,1.38,-1.62,-2.53,-2.15,1.82,-0.03,2.17,2.99,2.01,0.48"
"20121110,36.48,33.01,41.29,51.54,33.54,54.45,45.19,40.00,48.44,43.65,-2.12,0.51,-2.61,-3.66,3.34,2.35,4.29,3.30,2.54,1.35"
"20121117,36.63,33.52,41.41,51.55,32.90,53.78,44.30,39.35,47.90,43.27,-1.97,1.02,-2.49,-3.65,2.70,1.68,3.40,2.65,2.00,0.97"
"20121124,36.91,34.35,41.89,51.73,33.32,53.87,44.38,39.39,48.04,43.53,-1.69,1.85,-2.01,-3.47,3.12,1.77,3.48,2.69,2.14,1.23"
"20121130,37.14,34.00,42.29,52.34,32.87,53.62,43.91,38.99,47.80,43.38,-1.46,1.50,-1.61,-2.86,2.67,1.52,3.01,2.29,1.90,1.08"
"20121201,27.04,19.52,33.59,47.38,21.06,44.31,34.14,30.29,40.16,33.87,-0.56,0.12,-0.01,-0.42,0.86,0.51,1.14,0.69,0.96,0.47"
"20121208,33.45,28.12,43.66,54.12,29.02,53.07,40.46,35.15,44.86,41.26,5.85,8.72,10.06,6.32,8.82,9.27,7.46,5.55,5.66,7.86"
"20121215,33.59,27.55,42.81,54.09,27.77,51.62,39.09,34.61,44.08,40.36,5.99,8.15,9.21,6.29,7.57,7.82,6.09,5.01,4.88,6.96"
"20121222,33.86,27.25,42.41,53.94,26.97,51.06,38.02,34.11,43.20,39.80,6.26,7.85,8.81,6.14,6.77,7.26,5.02,4.51,4.00,6.40"
"20121229,33.67,26.55,41.74,53.55,25.85,50.19,37.13,33.64,42.44,39.05,6.07,7.15,8.14,5.75,5.65,6.39,4.13,4.04,3.24,5.65"
"20121231,33.22,26.14,41.09,53.16,25.49,49.57,36.52,33.05,41.91,38.53,5.62,6.74,7.49,5.36,5.29,5.77,3.52,3.45,2.71,5.13"
"20130105,20.96,14.60,27.18,44.89,17.35,38.33,26.86,24.19,34.12,28.38,-0.94,0.80,-1.92,-0.31,0.05,-3.17,-5.34,-5.11,-4.98,-2.42"
"20130112,23.99,19.29,31.96,48.20,19.83,41.54,27.89,25.68,34.41,31.05,2.09,5.49,2.86,3.00,2.53,0.04,-4.31,-3.62,-4.69,0.25"
"20130119,25.62,20.11,33.01,49.72,20.42,41.77,27.52,25.42,34.05,31.51,3.72,6.31,3.91,4.52,3.12,0.27,-4.68,-3.88,-5.05,0.71"
"20130126,25.36,19.32,32.77,49.85,20.64,42.26,28.12,25.54,34.50,31.67,3.46,5.52,3.67,4.65,3.34,0.76,-4.08,-3.76,-4.60,0.87"
"20130131,25.06,18.57,32.48,49.31,20.23,42.52,28.86,26.32,35.28,31.73,3.16,4.77,3.38,4.11,2.93,1.02,-3.34,-2.98,-3.82,0.93"
"20130202,25.98,20.27,35.57,49.50,24.11,48.78,37.28,34.68,43.34,36.64,1.58,0.87,1.87,1.30,0.81,2.38,0.48,1.08,0.24,1.24"
"20130209,23.20,19.54,36.53,49.99,29.12,52.07,38.96,35.52,43.57,38.28,-1.20,0.14,2.83,1.79,5.82,5.67,2.16,1.92,0.47,2.88"
"20130216,24.27,20.34,36.81,50.21,28.93,51.25,37.76,35.67,43.17,38.09,-0.13,0.94,3.11,2.01,5.63,4.85,0.96,2.07,0.07,2.69"
"20130223,24.89,19.24,34.65,48.57,26.05,48.33,35.15,34.50,41.51,36.04,0.49,-0.16,0.95,0.37,2.75,1.93,-1.65,0.90,-1.59,0.64"
